ID	Level	Type	Number	Weight	Map	Soldier_Quantity	Soldier_Pool	Initial_Troops	Reward
1003018	3	3	1	30		5		140	
1003019	3	3	1	40		5		140	
1003020	3	3	2	30		5		140	
1003021	3	3	2	30		5		140	
1003022	3	3	2	40		5		140	
1003023	3	3	3	50		5		140	
1003024	3	3	3	50		5		140	
1004001	4	1	1	30		4		160	
1004002	4	1	1	30		4		160	
1004003	4	1	1	40		4		160	
1004004	4	1	2	30		4		160	
1004005	4	1	2	30		4		160	
1004006	4	1	2	40		4		160	
1004007	4	1	3	50		4		160	
1004008	4	1	3	50		4		160	
1004009	4	2	1	30		4		160	
1004010	4	2	1	30		4		160	
1004011	4	2	1	40		4		160	
1004012	4	2	2	30		4		160	
1004013	4	2	2	30		4		160	
1004014	4	2	2	40		4		160	
1004015	4	2	3	50		4		160	
1004016	4	2	3	50		4		160	
1004017	4	3	1	30		5		160	
1004018	4	3	1	30		5		160	
1004019	4	3	1	40		5		160	
1004020	4	3	2	30		5		160	
1004021	4	3	2	30		5		160	
1004022	4	3	2	40		5		160	
1004023	4	3	3	50		5		160	
1004024	4	3	3	50		5		160	
1005001	5	1	1	30		4		180	
1005002	5	1	1	30		4		180	
1005003	5	1	1	40		4		180	
1005004	5	1	2	30		4		180	
1005005	5	1	2	30		4		180	
1005006	5	1	2	40		4		180	
1005007	5	1	3	50		4		180	
1005008	5	1	3	50		4		180	
1005009	5	2	1	30		4		180	
1005010	5	2	1	30		4		180	
1005011	5	2	1	40		4		180	
1005012	5	2	2	30		4		180	
1005013	5	2	2	30		4		180	
1005014	5	2	2	40		4		180	
1005015	5	2	3	50		4		180	
1005016	5	2	3	50		4		180	
1005017	5	3	1	30		5		180	
1005018	5	3	1	30		5		180	
1005019	5	3	1	40		5		180	
1005020	5	3	2	30		5		180	
1005021	5	3	2	30		5		180	
1005022	5	3	2	40		5		180	
1005023	5	3	3	50		5		180	
1005024	5	3	3	50		5		180	
1006001	6	1	1	30		4		200	
1006002	6	1	1	30		4		200	
1006003	6	1	1	40		4		200	
1006004	6	1	2	30		4		200	
1006005	6	1	2	30		4		200	
1006006	6	1	2	40		4		200	
1006007	6	1	3	50		4		200	
1006008	6	1	3	50		4		200	
1006009	6	2	1	30		4		200	
1006010	6	2	1	30		4		200	
1006011	6	2	1	40		4		200	
1006012	6	2	2	30		4		200	
1006013	6	2	2	30		4		200	
1006014	6	2	2	40		4		200	
1006015	6	2	3	50		4		200	
1006016	6	2	3	50		4		200	
1006017	6	3	1	30		5		200	
1006018	6	3	1	30		5		200	
1006019	6	3	1	40		5		200	
1006020	6	3	2	30		5		200	
1006021	6	3	2	30		5		200	
1006022	6	3	2	40		5		200	
1006023	6	3	3	50		5		200	
1006024	6	3	3	50		5		200	
1007001	7	1	1	30		4		220	
1007002	7	1	1	30		4		220	
1007003	7	1	1	40		4		220	
1007004	7	1	2	30		4		220	
1007005	7	1	2	30		4		220	
1007006	7	1	2	40		4		220	
1007007	7	1	3	50		4		220	
1007008	7	1	3	50		4		220	
1007009	7	2	1	30		4		220	
1007010	7	2	1	30		4		220	
1007011	7	2	1	40		4		220	
1007012	7	2	2	30		4		220	
1007013	7	2	2	30		4		220	
1007014	7	2	2	40		4		220	
1007015	7	2	3	50		4		220	
1007016	7	2	3	50		4		220	
1007017	7	3	1	30		5		220	
1007018	7	3	1	30		5		220	
1007019	7	3	1	40		5		220	
1007020	7	3	2	30		5		220	
1007021	7	3	2	30		5		220	
1007022	7	3	2	40		5		220	
1007023	7	3	3	50		5		220	
1007024	7	3	3	50		5		220	
1008001	8	1	1	30		4		240	
1008002	8	1	1	30		4		240	
1008003	8	1	1	40		4		240	
1008004	8	1	2	30		4		240	
1008005	8	1	2	30		4		240	
1008006	8	1	2	40		4		240	
1008007	8	1	3	50		4		240	
1008008	8	1	3	50		4		240	
1008009	8	2	1	30		4		240	
1008010	8	2	1	30		4		240	
1008011	8	2	1	40		4		240	
1008012	8	2	2	30		4		240	
1008013	8	2	2	30		4		240	
1008014	8	2	2	40		4		240	
1008015	8	2	3	50		4		240	
1008016	8	2	3	50		4		240	
1008017	8	3	1	30		5		240	
1008018	8	3	1	30		5		240	
1008019	8	3	1	40		5		240	
1008020	8	3	2	30		5		240	
1008021	8	3	2	30		5		240	
1008022	8	3	2	40		5		240	
1008023	8	3	3	50		5		240	
1008024	8	3	3	50		5		240	
1009001	9	1	1	30		4		260	
1009002	9	1	1	30		4		260	
1009003	9	1	1	40		4		260	
1009004	9	1	2	30		4		260	
1009005	9	1	2	30		4		260	
1009006	9	1	2	40		4		260	
1009007	9	1	3	50		4		260	
1009008	9	1	3	50		4		260	
1009009	9	2	1	30		4		260	
1009010	9	2	1	30		4		260	
1009011	9	2	1	40		4		260	
1009012	9	2	2	30		4		260	
1009013	9	2	2	30		4		260	
1009014	9	2	2	40		4		260	
1009015	9	2	3	50		4		260	
1009016	9	2	3	50		4		260	
1009017	9	3	1	30		5		260	
1009018	9	3	1	30		5		260	
1009019	9	3	1	40		5		260	
1009020	9	3	2	30		5		260	
1009021	9	3	2	30		5		260	
1009022	9	3	2	40		5		260	
1009023	9	3	3	50		5		260	
1009024	9	3	3	50		5		260	
1010001	10	1	1	30		4		280	
1010002	10	1	1	30		4		280	
1010003	10	1	1	40		4		280	
1010004	10	1	2	30		4		280	
1010005	10	1	2	30		4		280	
1010006	10	1	2	40		4		280	
1010007	10	1	3	50		4		280	
1010008	10	1	3	50		4		280	
1010009	10	2	1	30		4		280	
1010010	10	2	1	30		4		280	
1010011	10	2	1	40		4		280	
1010012	10	2	2	30		4		280	
1010013	10	2	2	30		4		280	
1010014	10	2	2	40		4		280	
1010015	10	2	3	50		4		280	
1010016	10	2	3	50		4		280	
1010017	10	3	1	30		5		280	
1010018	10	3	1	30		5		280	
1010019	10	3	1	40		5		280	
1010020	10	3	2	30		5		280	
1010021	10	3	2	30		5		280	
1010022	10	3	2	40		5		280	
1010023	10	3	3	50		5		280	
1010024	10	3	3	50		5		280	
1011001	11	1	1	30		4		300	
1011002	11	1	1	30		4		300	
1011003	11	1	1	40		4		300	
1011004	11	1	2	30		4		300	
1011005	11	1	2	30		4		300	
1011006	11	1	2	40		4		300	
1011007	11	1	3	50		4		300	
1011008	11	1	3	50		4		300	
1011009	11	2	1	30		4		300	
1011010	11	2	1	30		4		300	
1011011	11	2	1	40		4		300	
1011012	11	2	2	30		4		300	
1011013	11	2	2	30		4		300	
1011014	11	2	2	40		4		300	
1011015	11	2	3	50		4		300	
1011016	11	2	3	50		4		300	
1011017	11	3	1	30		5		300	
1011018	11	3	1	30		5		300	
1011019	11	3	1	40		5		300	
1011020	11	3	2	30		5		300	
1011021	11	3	2	30		5		300	
1011022	11	3	2	40		5		300	
1011023	11	3	3	50		5		300	
1011024	11	3	3	50		5		300	
1012001	12	1	1	30		4		320	
1012002	12	1	1	30		4		320	
1012003	12	1	1	40		4		320	
1012004	12	1	2	30		4		320	
1012005	12	1	2	30		4		320	
1012006	12	1	2	40		4		320	
1012007	12	1	3	50		4		320	
1012008	12	1	3	50		4		320	
1012009	12	2	1	30		4		320	
1012010	12	2	1	30		4		320	
1012011	12	2	1	40		4		320	
1012012	12	2	2	30		4		320	
1012013	12	2	2	30		4		320	
1012014	12	2	2	40		4		320	
1012015	12	2	3	50		4		320	
1012016	12	2	3	50		4		320	
1012017	12	3	1	30		5		320	
1012018	12	3	1	30		5		320	
1012019	12	3	1	40		5		320	
1012020	12	3	2	30		5		320	
1012021	12	3	2	30		5		320	
1012022	12	3	2	40		5		320	
1012023	12	3	3	50		5		320	
1012024	12	3	3	50		5		320	
