itemid_k	des	namesid	dessid	icon	itemtype	subtype	ruleid	rarevalue	level	maxnum	uselogic	parameter_1	parameter_2	parameter_3
101000509	普通宝箱				1			3	81	999	1			
101000510	普通宝箱				1			3	91	999	1			
101000601	普通宝箱				1			3	1	999	1			
101000602	普通宝箱				1			3	11	999	1			
101000603	普通宝箱				1			3	21	999	1			
101000604	普通宝箱				1			3	31	999	1			
101000605	普通宝箱				1			3	41	999	1			
101000606	普通宝箱				1			3	51	999	1			
101000607	普通宝箱				1			3	61	999	1			
101000608	普通宝箱				1			3	71	999	1			
101000609	普通宝箱				1			3	81	999	1			
101000610	普通宝箱				1			3	91	999	1			
101000701	普通宝箱				1			3	1	999	1			
101000702	普通宝箱				1			3	11	999	1			
101000703	普通宝箱				1			3	21	999	1			
101000704	普通宝箱				1			3	31	999	1			
101000705	普通宝箱				1			3	41	999	1			
101000706	普通宝箱				1			3	51	999	1			
101000707	普通宝箱				1			3	61	999	1			
101000708	普通宝箱				1			3	71	999	1			
101000709	普通宝箱				1			3	81	999	1			
101000710	普通宝箱				1			3	91	999	1			
101000801	普通宝箱				1			3	1	999	1			
101000802	普通宝箱				1			3	11	999	1			
101000803	普通宝箱				1			3	21	999	1			
101000804	普通宝箱				1			3	31	999	1			
101000805	普通宝箱				1			3	41	999	1			
101000806	普通宝箱				1			3	51	999	1			
101000807	普通宝箱				1			3	61	999	1			
101000808	普通宝箱				1			3	71	999	1			
101000809	普通宝箱				1			3	81	999	1			
101000810	普通宝箱				1			3	91	999	1			
101000901	普通宝箱				1			3	1	999	1			
101000902	普通宝箱				1			3	11	999	1			
101000903	普通宝箱				1			3	21	999	1			
101000904	普通宝箱				1			3	31	999	1			
101000905	普通宝箱				1			3	41	999	1			
101000906	普通宝箱				1			3	51	999	1			
101000907	普通宝箱				1			3	61	999	1			
101000908	普通宝箱				1			3	71	999	1			
101000909	普通宝箱				1			3	81	999	1			
101000910	普通宝箱				1			3	91	999	1			
101001001	普通宝箱				1			3	1	999	1			
101001002	普通宝箱				1			3	11	999	1			
101001003	普通宝箱				1			3	21	999	1			
101001004	普通宝箱				1			3	31	999	1			
101001005	普通宝箱				1			3	41	999	1			
101001006	普通宝箱				1			3	51	999	1			
101001007	普通宝箱				1			3	61	999	1			
101001008	普通宝箱				1			3	71	999	1			
101001009	普通宝箱				1			3	81	999	1			
101001010	普通宝箱				1			3	91	999	1			
101001101	紫色稀有宝箱				1			4	1	999	1			
101001102	紫色稀有宝箱				1			4	11	999	1			
101001103	紫色稀有宝箱				1			4	21	999	1			
101001104	紫色稀有宝箱				1			4	31	999	1			
101001105	紫色稀有宝箱				1			4	41	999	1			
101001106	紫色稀有宝箱				1			4	51	999	1			
101001107	紫色稀有宝箱				1			4	61	999	1			
101001108	紫色稀有宝箱				1			4	71	999	1			
101001109	紫色稀有宝箱				1			4	81	999	1			
101001110	紫色稀有宝箱				1			4	91	999	1			
101001201	紫色稀有宝箱				1			4	1	999	1			
101001202	紫色稀有宝箱				1			4	11	999	1			
101001203	紫色稀有宝箱				1			4	21	999	1			
101001204	紫色稀有宝箱				1			4	31	999	1			
101001205	紫色稀有宝箱				1			4	41	999	1			
101001206	紫色稀有宝箱				1			4	51	999	1			
101001207	紫色稀有宝箱				1			4	61	999	1			
101001208	紫色稀有宝箱				1			4	71	999	1			
101001209	紫色稀有宝箱				1			4	81	999	1			
101001210	紫色稀有宝箱				1			4	91	999	1			
101001301	紫色稀有宝箱				1			4	1	999	1			
101001302	紫色稀有宝箱				1			4	11	999	1			
101001303	紫色稀有宝箱				1			4	21	999	1			
101001304	紫色稀有宝箱				1			4	31	999	1			
101001305	紫色稀有宝箱				1			4	41	999	1			
101001306	紫色稀有宝箱				1			4	51	999	1			
101001307	紫色稀有宝箱				1			4	61	999	1			
101001308	紫色稀有宝箱				1			4	71	999	1			
101001309	紫色稀有宝箱				1			4	81	999	1			
101001310	紫色稀有宝箱				1			4	91	999	1			
101001401	紫色稀有宝箱				1			4	1	999	1			
101001402	紫色稀有宝箱				1			4	11	999	1			
101001403	紫色稀有宝箱				1			4	21	999	1			
101001404	紫色稀有宝箱				1			4	31	999	1			
101001405	紫色稀有宝箱				1			4	41	999	1			
101001406	紫色稀有宝箱				1			4	51	999	1			
101001407	紫色稀有宝箱				1			4	61	999	1			
101001408	紫色稀有宝箱				1			4	71	999	1			
101001409	紫色稀有宝箱				1			4	81	999	1			
101001410	紫色稀有宝箱				1			4	91	999	1			
101001501	紫色稀有宝箱				1			4	1	999	1			
101001502	紫色稀有宝箱				1			4	11	999	1			
101001503	紫色稀有宝箱				1			4	21	999	1			
101001504	紫色稀有宝箱				1			4	31	999	1			
101001505	紫色稀有宝箱				1			4	41	999	1			
101001506	紫色稀有宝箱				1			4	51	999	1			
101001507	紫色稀有宝箱				1			4	61	999	1			
101001508	紫色稀有宝箱				1			4	71	999	1			
101001509	紫色稀有宝箱				1			4	81	999	1			
101001510	紫色稀有宝箱				1			4	91	999	1			
101001601	紫色稀有宝箱				1			4	1	999	1			
101001602	紫色稀有宝箱				1			4	11	999	1			
101001603	紫色稀有宝箱				1			4	21	999	1			
101001604	紫色稀有宝箱				1			4	31	999	1			
101001605	紫色稀有宝箱				1			4	41	999	1			
101001606	紫色稀有宝箱				1			4	51	999	1			
101001607	紫色稀有宝箱				1			4	61	999	1			
101001608	紫色稀有宝箱				1			4	71	999	1			
101001609	紫色稀有宝箱				1			4	81	999	1			
101001610	紫色稀有宝箱				1			4	91	999	1			
101001701	紫色稀有宝箱				1			4	1	999	1			
101001702	紫色稀有宝箱				1			4	11	999	1			
101001703	紫色稀有宝箱				1			4	21	999	1			
101001704	紫色稀有宝箱				1			4	31	999	1			
101001705	紫色稀有宝箱				1			4	41	999	1			
101001706	紫色稀有宝箱				1			4	51	999	1			
101001707	紫色稀有宝箱				1			4	61	999	1			
101001708	紫色稀有宝箱				1			4	71	999	1			
101001709	紫色稀有宝箱				1			4	81	999	1			
101001710	紫色稀有宝箱				1			4	91	999	1			
101001801	紫色稀有宝箱				1			4	1	999	1			
101001802	紫色稀有宝箱				1			4	11	999	1			
101001803	紫色稀有宝箱				1			4	21	999	1			
101001804	紫色稀有宝箱				1			4	31	999	1			
101001805	紫色稀有宝箱				1			4	41	999	1			
101001806	紫色稀有宝箱				1			4	51	999	1			
101001807	紫色稀有宝箱				1			4	61	999	1			
101001808	紫色稀有宝箱				1			4	71	999	1			
101001809	紫色稀有宝箱				1			4	81	999	1			
101001810	紫色稀有宝箱				1			4	91	999	1			
101001901	紫色稀有宝箱				1			4	1	999	1			
101001902	紫色稀有宝箱				1			4	11	999	1			
101001903	紫色稀有宝箱				1			4	21	999	1			
101001904	紫色稀有宝箱				1			4	31	999	1			
101001905	紫色稀有宝箱				1			4	41	999	1			
101001906	紫色稀有宝箱				1			4	51	999	1			
101001907	紫色稀有宝箱				1			4	61	999	1			
101001908	紫色稀有宝箱				1			4	71	999	1			
101001909	紫色稀有宝箱				1			4	81	999	1			
101001910	紫色稀有宝箱				1			4	91	999	1			
101002001	紫色稀有宝箱				1			4	1	999	1			
101002002	紫色稀有宝箱				1			4	11	999	1			
101002003	紫色稀有宝箱				1			4	21	999	1			
101002004	紫色稀有宝箱				1			4	31	999	1			
101002005	紫色稀有宝箱				1			4	41	999	1			
101002006	紫色稀有宝箱				1			4	51	999	1			
101002007	紫色稀有宝箱				1			4	61	999	1			
101002008	紫色稀有宝箱				1			4	71	999	1			
101002009	紫色稀有宝箱				1			4	81	999	1			
101002010	紫色稀有宝箱				1			4	91	999	1			
101002101	黄金宝箱				1			5	1	999	1			
101002102	黄金宝箱				1			5	11	999	1			
101002103	黄金宝箱				1			5	21	999	1			
101002104	黄金宝箱				1			5	31	999	1			
101002105	黄金宝箱				1			5	41	999	1			
101002106	黄金宝箱				1			5	51	999	1			
101002107	黄金宝箱				1			5	61	999	1			
101002108	黄金宝箱				1			5	71	999	1			
101002109	黄金宝箱				1			5	81	999	1			
101002110	黄金宝箱				1			5	91	999	1			
101002201	黄金宝箱				1			5	1	999	1			
101002202	黄金宝箱				1			5	11	999	1			
101002203	黄金宝箱				1			5	21	999	1			
101002204	黄金宝箱				1			5	31	999	1			
101002205	黄金宝箱				1			5	41	999	1			
101002206	黄金宝箱				1			5	51	999	1			
101002207	黄金宝箱				1			5	61	999	1			
101002208	黄金宝箱				1			5	71	999	1			
101002209	黄金宝箱				1			5	81	999	1			
101002210	黄金宝箱				1			5	91	999	1			
101002301	黄金宝箱				1			5	1	999	1			
101002302	黄金宝箱				1			5	11	999	1			
101002303	黄金宝箱				1			5	21	999	1			
101002304	黄金宝箱				1			5	31	999	1			
101002305	黄金宝箱				1			5	41	999	1			
101002306	黄金宝箱				1			5	51	999	1			
101002307	黄金宝箱				1			5	61	999	1			
101002308	黄金宝箱				1			5	71	999	1			
101002309	黄金宝箱				1			5	81	999	1			
101002310	黄金宝箱				1			5	91	999	1			
101002401	黄金宝箱				1			5	1	999	1			
101002402	黄金宝箱				1			5	11	999	1			
101002403	黄金宝箱				1			5	21	999	1			
101002404	黄金宝箱				1			5	31	999	1			
101002405	黄金宝箱				1			5	41	999	1			
101002406	黄金宝箱				1			5	51	999	1			
101002407	黄金宝箱				1			5	61	999	1			
101002408	黄金宝箱				1			5	71	999	1			
101002409	黄金宝箱				1			5	81	999	1			
101002410	黄金宝箱				1			5	91	999	1			
101002501	黄金宝箱				1			5	1	999	1			
101002502	黄金宝箱				1			5	11	999	1			
101002503	黄金宝箱				1			5	21	999	1			
101002504	黄金宝箱				1			5	31	999	1			
101002505	黄金宝箱				1			5	41	999	1			
101002506	黄金宝箱				1			5	51	999	1			
101002507	黄金宝箱				1			5	61	999	1			
101002508	黄金宝箱				1			5	71	999	1			
101002509	黄金宝箱				1			5	81	999	1			
101002510	黄金宝箱				1			5	91	999	1			
101002601	黄金宝箱				1			5	1	999	1			
101002602	黄金宝箱				1			5	11	999	1			
101002603	黄金宝箱				1			5	21	999	1			
101002604	黄金宝箱				1			5	31	999	1			
101002605	黄金宝箱				1			5	41	999	1			
101002606	黄金宝箱				1			5	51	999	1			
101002607	黄金宝箱				1			5	61	999	1			
101002608	黄金宝箱				1			5	71	999	1			
101002609	黄金宝箱				1			5	81	999	1			
101002610	黄金宝箱				1			5	91	999	1			
101002701	黄金宝箱				1			5	1	999	1			
101002702	黄金宝箱				1			5	11	999	1			
101002703	黄金宝箱				1			5	21	999	1			
101002704	黄金宝箱				1			5	31	999	1			
101002705	黄金宝箱				1			5	41	999	1			
101002706	黄金宝箱				1			5	51	999	1			
101002707	黄金宝箱				1			5	61	999	1			
101002708	黄金宝箱				1			5	71	999	1			
101002709	黄金宝箱				1			5	81	999	1			
101002710	黄金宝箱				1			5	91	999	1			
101002801	黄金宝箱				1			5	1	999	1			
101002802	黄金宝箱				1			5	11	999	1			
101002803	黄金宝箱				1			5	21	999	1			
101002804	黄金宝箱				1			5	31	999	1			
101002805	黄金宝箱				1			5	41	999	1			
101002806	黄金宝箱				1			5	51	999	1			
101002807	黄金宝箱				1			5	61	999	1			
101002808	黄金宝箱				1			5	71	999	1			
101002809	黄金宝箱				1			5	81	999	1			
101002810	黄金宝箱				1			5	91	999	1			
101002901	黄金宝箱				1			5	1	999	1			
101002902	黄金宝箱				1			5	11	999	1			
101002903	黄金宝箱				1			5	21	999	1			
101002904	黄金宝箱				1			5	31	999	1			
101002905	黄金宝箱				1			5	41	999	1			
101002906	黄金宝箱				1			5	51	999	1			
101002907	黄金宝箱				1			5	61	999	1			
101002908	黄金宝箱				1			5	71	999	1			
101002909	黄金宝箱				1			5	81	999	1			
101002910	黄金宝箱				1			5	91	999	1			
101003001	黄金宝箱				1			5	1	999	1			
101003002	黄金宝箱				1			5	11	999	1			
101003003	黄金宝箱				1			5	21	999	1			
101003004	黄金宝箱				1			5	31	999	1			
101003005	黄金宝箱				1			5	41	999	1			
101003006	黄金宝箱				1			5	51	999	1			
101003007	黄金宝箱				1			5	61	999	1			
101003008	黄金宝箱				1			5	71	999	1			
101003009	黄金宝箱				1			5	81	999	1			
101003010	黄金宝箱				1			5	91	999	1			
